ticker,clase,first_date,last_date,n_rows,raw_first,flags
IEX,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
IHI,WL,2006-05-05,2026-07-01,5069,2006-05-05,
ILMN,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
IMOS,WL,2011-03-03,2026-07-01,3854,2011-03-03,
INDI,WL,2021-06-14,2026-07-01,1268,2021-06-14,
INKT,WL,2021-10-15,2026-07-01,1180,2021-10-15,
INTC,WL,2000-01-03,2026-07-01,6663,1972-01-07,PROFUNDO
INVE,WL,2005-02-25,2026-07-01,5292,2005-02-25,BORDE-COBERTURA
IONS,WL,2005-02-25,2026-07-01,5367,2005-02-25,BORDE-COBERTURA
IOVA,WL,2010-05-26,2026-07-01,3743,2010-05-26,
IPGP,WL,2006-12-12,2026-07-01,4916,2006-12-12,
IPWR,WL,2013-11-22,2026-07-01,3166,2013-11-22,
IQST,WL,2025-05-15,2026-07-01,283,2025-05-15,
IR,WL,2017-05-12,2026-07-01,2296,2017-05-12,
IRDM,WL,2008-03-20,2026-07-01,4532,2008-03-20,
IRMD,WL,2014-07-16,2026-07-01,3008,,ALTA-POST-CENSO(fix IRAD->IRMD)
ISSC,WL,2005-02-25,2026-07-01,5350,2005-02-25,BORDE-COBERTURA
ITA,WL,2006-05-05,2026-07-01,5069,2006-05-05,
ITRN,WL,2005-09-27,2026-07-01,5221,2005-09-27,
ITT,WL,2000-01-03,2026-07-01,6661,1995-12-18,PROFUNDO
ITW,WL,2000-01-03,2026-07-01,6663,1987-11-05,PROFUNDO
IVA,WL,2020-07-10,2026-07-01,1483,2020-07-10,
J,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
JCI,WL,2000-01-03,2026-07-01,6661,1987-12-30,PROFUNDO
JEDI,WL,2026-07-01,2026-07-01,1,2026-07-01,
JOBY,WL,2020-11-11,2026-07-01,1414,2020-11-11,
KLAC,WL,2000-01-03,2026-07-01,6661,1990-03-26,PROFUNDO
KOD,WL,2018-10-04,2026-07-01,1944,2018-10-04,
KOPN,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
KRMN,WL,2025-02-13,2026-07-01,346,2025-02-13,
KRYS,WL,2017-09-20,2026-07-01,2205,2017-09-20,
KTOS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
KURA,WL,2015-11-05,2026-07-01,2677,2015-11-05,
LAES,WL,2023-05-22,2026-07-01,780,2023-05-22,
LASR,WL,2018-04-26,2026-07-01,2056,2018-04-26,
LEDS,WL,2010-12-13,2026-07-01,3909,2010-12-13,
LEU,WL,2000-01-03,2026-07-01,6658,1998-07-23,PROFUNDO
LFUS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
LGND,WL,2005-02-25,2026-07-01,5370,2005-02-25,BORDE-COBERTURA
LHX,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
LII,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
LINK,WL,2021-03-26,2026-07-01,1282,2021-03-26,
LIT,WL,2010-07-23,2026-07-01,4005,2010-07-23,
LITE,WL,2015-08-05,2026-07-01,2742,2015-08-05,
LMB,WL,2016-12-02,2026-07-01,2403,2016-12-02,
LMT,WL,2000-01-03,2026-07-01,6661,1977-01-03,PROFUNDO
LOAR,WL,2024-04-25,2026-07-01,547,2024-04-25,
LOGI,WL,2010-08-23,2026-07-01,3987,2010-08-23,
LRCX,WL,2000-01-03,2026-07-01,6656,1990-03-26,PROFUNDO
LRMR,WL,2014-06-19,2026-07-01,3026,2014-06-19,
LSCC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
LUNR,WL,2021-11-22,2026-07-01,1039,2021-11-22,
MCHP,WL,2000-01-03,2026-07-01,6663,1993-03-19,PROFUNDO
MDGL,WL,2007-02-05,2026-07-01,4881,2007-02-05,
MEI,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MGTX,WL,2018-06-08,2026-07-01,2026,2018-06-08,
MLTX,WL,2020-10-20,2026-07-01,1359,2020-10-20,
MMM,WL,2000-01-03,2026-07-01,6663,1970-01-02,PROFUNDO
MOBX,WL,2021-08-16,2026-07-01,943,2021-08-16,
MOD,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MOG-A,WL,2010-08-23,2026-07-01,3987,2010-08-23,
MPWR,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MRAM,WL,2016-10-07,2026-07-01,2445,2016-10-07,
MRVL,WL,2000-06-30,2026-07-01,6531,2000-06-30,
MSLE,WL,2026-02-06,2026-07-01,100,2026-02-06,
MSM,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MTSI,WL,2012-03-15,2026-07-01,3594,2012-03-15,
MTW,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MTZ,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MU,WL,2000-01-03,2026-07-01,6661,1989-05-16,PROFUNDO
MVIS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MVST,WL,2019-03-28,2026-07-01,1768,2019-03-28,
MWA,WL,2006-05-25,2026-07-01,5055,2006-05-25,
MX,WL,2011-03-15,2026-07-01,3847,2011-03-15,
MXL,WL,2010-03-23,2026-07-01,4093,2010-03-23,
MYGN,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
MYRG,WL,2008-08-12,2026-07-01,4494,2008-08-12,
NA,WL,2022-07-12,2026-07-01,994,2022-07-12,
NAMS,WL,2022-11-25,2026-07-01,901,2022-11-25,
NAUT,WL,2020-08-07,2026-07-01,1478,2020-08-07,
NDSN,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
NEE,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
NEON,WL,2012-05-02,2026-07-01,3560,2012-05-02,
NEOV,WL,2022-07-28,2026-07-01,985,2022-07-28,
NKLR,WL,2025-10-13,2026-07-01,180,2025-10-13,
